"","clock.start.time","start","end","stage"
"1","00:00:00",0,30,"0"
"2","00:00:30",30,60,"0"
"3","00:01:00",60,90,"0"
"4","00:01:30",90,120,"0"
"5","00:02:00",120,150,"0"
"6","00:02:30",150,180,"0"
"7","00:03:00",180,210,"0"
"8","00:03:30",210,240,"0"
"9","00:04:00",240,270,"0"
"10","00:04:30",270,300,"0"
"11","00:05:00",300,330,"1"
"12","00:05:30",330,360,"1"
"13","00:06:00",360,390,"0"
"14","00:06:30",390,420,"1"
"15","00:07:00",420,450,"1"
"16","00:07:30",450,480,"1"
"17","00:08:00",480,510,"0"
"18","00:08:30",510,540,"0"
"19","00:09:00",540,570,"1"
"20","00:09:30",570,600,"0"
"21","00:10:00",600,630,"0"
"22","00:10:30",630,660,"0"
"23","00:11:00",660,690,"0"
"24","00:11:30",690,720,"0"
"25","00:12:00",720,750,"0"
"26","00:12:30",750,780,"0"
"27","00:13:00",780,810,"0"
"28","00:13:30",810,840,"0"
"29","00:14:00",840,870,"0"
"30","00:14:30",870,900,"0"
"31","00:15:00",900,930,"0"
"32","00:15:30",930,960,"0"
"33","00:16:00",960,990,"1"
"34","00:16:30",990,1020,"1"
"35","00:17:00",1020,1050,"0"
"36","00:17:30",1050,1080,"0"
"37","00:18:00",1080,1110,"0"
"38","00:18:30",1110,1140,"1"
"39","00:19:00",1140,1170,"1"
"40","00:19:30",1170,1200,"1"
"41","00:20:00",1200,1230,"1"
"42","00:20:30",1230,1260,"1"
"43","00:21:00",1260,1290,"1"
"44","00:21:30",1290,1320,"1"
"45","00:22:00",1320,1350,"1"
"46","00:22:30",1350,1380,"1"
"47","00:23:00",1380,1410,"1"
"48","00:23:30",1410,1440,"1"
"49","00:24:00",1440,1470,"1"
"50","00:24:30",1470,1500,"1"
"51","00:25:00",1500,1530,"1"
"52","00:25:30",1530,1560,"1"
"53","00:26:00",1560,1590,"1"
"54","00:26:30",1590,1620,"0"
"55","00:27:00",1620,1650,"0"
"56","00:27:30",1650,1680,"1"
"57","00:28:00",1680,1710,"1"
"58","00:28:30",1710,1740,"1"
"59","00:29:00",1740,1770,"1"
"60","00:29:30",1770,1800,"1"
"61","00:30:00",1800,1830,"1"
"62","00:30:30",1830,1860,"1"
"63","00:31:00",1860,1890,"1"
"64","00:31:30",1890,1920,"1"
"65","00:32:00",1920,1950,"1"
"66","00:32:30",1950,1980,"1"
"67","00:33:00",1980,2010,"1"
"68","00:33:30",2010,2040,"1"
"69","00:34:00",2040,2070,"1"
"70","00:34:30",2070,2100,"0"
"71","00:35:00",2100,2130,"1"
"72","00:35:30",2130,2160,"0"
"73","00:36:00",2160,2190,"1"
"74","00:36:30",2190,2220,"0"
"75","00:37:00",2220,2250,"-1"
"76","00:37:30",2250,2280,"1"
"77","00:38:00",2280,2310,"1"
"78","00:38:30",2310,2340,"1"
"79","00:39:00",2340,2370,"1"
"80","00:39:30",2370,2400,"1"
"81","00:40:00",2400,2430,"1"
"82","00:40:30",2430,2460,"1"
"83","00:41:00",2460,2490,"1"
"84","00:41:30",2490,2520,"1"
"85","00:42:00",2520,2550,"1"
"86","00:42:30",2550,2580,"1"
"87","00:43:00",2580,2610,"1"
"88","00:43:30",2610,2640,"1"
"89","00:44:00",2640,2670,"1"
"90","00:44:30",2670,2700,"1"
"91","00:45:00",2700,2730,"1"
"92","00:45:30",2730,2760,"1"
"93","00:46:00",2760,2790,"1"
"94","00:46:30",2790,2820,"2"
"95","00:47:00",2820,2850,"2"
"96","00:47:30",2850,2880,"2"
"97","00:48:00",2880,2910,"2"
"98","00:48:30",2910,2940,"2"
"99","00:49:00",2940,2970,"2"
"100","00:49:30",2970,3000,"2"
"101","00:50:00",3000,3030,"2"
"102","00:50:30",3030,3060,"2"
"103","00:51:00",3060,3090,"2"
"104","00:51:30",3090,3120,"2"
"105","00:52:00",3120,3150,"2"
"106","00:52:30",3150,3180,"2"
"107","00:53:00",3180,3210,"2"
"108","00:53:30",3210,3240,"2"
"109","00:54:00",3240,3270,"2"
"110","00:54:30",3270,3300,"2"
"111","00:55:00",3300,3330,"2"
"112","00:55:30",3330,3360,"2"
"113","00:56:00",3360,3390,"3"
"114","00:56:30",3390,3420,"2"
"115","00:57:00",3420,3450,"2"
"116","00:57:30",3450,3480,"3"
"117","00:58:00",3480,3510,"3"
"118","00:58:30",3510,3540,"3"
"119","00:59:00",3540,3570,"3"
"120","00:59:30",3570,3600,"3"
"121","01:00:00",3600,3630,"3"
"122","01:00:30",3630,3660,"3"
"123","01:01:00",3660,3690,"3"
"124","01:01:30",3690,3720,"3"
"125","01:02:00",3720,3750,"3"
"126","01:02:30",3750,3780,"3"
"127","01:03:00",3780,3810,"3"
"128","01:03:30",3810,3840,"3"
"129","01:04:00",3840,3870,"3"
"130","01:04:30",3870,3900,"3"
"131","01:05:00",3900,3930,"3"
